IDResposta;CDInstalacaoPortuaria;Instalação;NOAvaliacao;NOTituloIndicadorEspecificoQuestionario;NRPeso;NOAtributoQuestionario
12392;"156    ";Terminal Aquaviário da Ilha D'Água;2015.2;Prevenção de Riscos;13,15768092;N5
12496;"157    ";Terminal Aquaviário de Ilha Redonda e Terminal Aquaviário da Ilha Comprida;2015.2;Prevenção de Riscos;13,15768092;N5
4176;"170    ";Portonave - Terminais Portuários de Navegantes;2015.2;Prevenção de Riscos;13,15768092;N5
5033;"211    ";Terminal Marítimo Dow;2015.2;Prevenção de Riscos;13,15768092;N5
8508;"152    ";Terminal de Tubarão;2015.2;Prevenção de Riscos;13,15768092;N5
8632;"167    ";Terminal de Praia Mole;2015.2;Prevenção de Riscos;13,15768092;N5
8911;"233    ";Granel Química Ladário;2015.2;Prevenção de Riscos;13,15768092;N5
8995;"162    ";Teporti;2015.2;Prevenção de Riscos;13,15768092;N5
738;"136    ";Bertolini - Santarém;2015.2;Prevenção de Riscos;1,205075837;N2
2136;"239    ";Moinho Taquariense;2015.2;Prevenção de Riscos;1,205075837;N2
4124;"181    ";Terminal Fogás;2015.2;Prevenção de Riscos;1,205075837;N2
4669;"224    ";Terminal Fluvial de Juruti;2015.2;Prevenção de Riscos;1,205075837;N2
5686;"242    ";Gerdau Aços Longos;2015.2;Prevenção de Riscos;1,205075837;N2
8791;"197    ";Terminal Aquaviário de Manaus;2015.2;Prevenção de Riscos;1,205075837;N2
13593;"153    ";Terminal Marítimo Privativo de Cubatão - TMPC;2015.2;Prevenção de Riscos;1,205075837;N2
14162;"150    ";Ocrim;2015.2;Prevenção de Riscos;1,205075837;N2
9579;"192    ";Passarão;2015.2;Prevenção de Riscos;1,205075837;N2
9613;"159    ";Belmont;2015.2;Prevenção de Riscos;1,205075837;N2
11170;"459    ";Caramuru Alimentos São Simão;2015.2;Prevenção de Riscos;1,205075837;N2
11530;"272    ";Terminal Fluvial Caulim;2015.2;Prevenção de Riscos;1,205075837;N2
12352;"195    ";Porto Engenheiro Zephyrino Lavanère Machado Filho;2015.2;Prevenção de Riscos;1,205075837;N2
13353;"232    ";NULL;2015.2;Prevenção de Riscos;1,205075837;N2
4183;"170    ";Portonave - Terminais Portuários de Navegantes;2015.2;Ações de Retirada de Resíduos do Navio;11,0549169;N5
6092;"149    ";Terminal Marítimo de Ponta da Madeira;2015.2;Ações de Retirada de Resíduos do Navio;11,0549169;N5
7692;"215    ";Portocel - Terminal Especializado de Barra do Riacho;2015.2;Ações de Retirada de Resíduos do Navio;11,0549169;N5
7808;"289    ";Companhia Portuária Vila Velha - CPVV;2015.2;Ações de Retirada de Resíduos do Navio;11,0549169;N5
