IDTerminal;NOTerminal
1044;V ALMEIDA DA SILVA
1045;C E COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA
1046;Posto Rio V
1047;Phoenix Tour
1048;Marina de Itaparica
1049;A M L MOREIRA LUNA
1050;EMPRESA DE NAVEGAÇÃO A R TRANSPORTE LTDA
1051;Porto Bom Jesus
1052;Pontão Coari
1053;Rampa para embarque e desembarque de produtos florestais da empresa Comercial Manoel Passos Eireli
1054;Terminal Dock Brasil
1055;CPSM - Centro Portuário de São Mateus
1056;Terminal Portuário Estrela
1057;Porto da Balsa
1058;EDLOG & ZPORT OPERACÕES PORTUÁRIAS
1059;Registro Bertolini Santarém  - Maica
1060;Porto Fluvial de Ladário
1061;Pontão Torres I
1062;Oliveira Energia S.A.
1063;Pontão Flutuante Dona Cândida
1064;CS Construção e Navegação
1065;Iracilde Feitosa Costa
1066;Porto AR Transporte
1067;Terminal Rodofluvial de Belém - Travessia por Balsa
1068;Bertolini Itaituba
1069;Cais Estrela
1070;Pontão Menezes
1071;COMINA EMPRESA DE MINERAÇÃO EIRELI
1072;Porto do Gelo
1073;Chibatão Navegação e Comércio Ltda - TUP Alfandegado
1074;Administração de Bens de Infraestrutura - ABI
1075;Rampa de Apoio para a empresa Eco Brasil Florestal  EIRELI
1076;Madeireira Madeval Ltda ME
1077;Madeireira São José Eireli
1078;Grão Pará Naval
1079;Auto Posto LS LTDA
1080;Assis materiais de Construção
1081;Cemopar Cerâmica Moderna de Parintins Ind. e Com. LTDA
1082;Bahia Terminais
1083;Benevides Madeiras
1084;Serraria Boa Vista
1085;Porto
1086;Hermasa Navegação da Amazônia Ltda (Estaleiro)
1087;Petróleo Sabbá - Itaituba
1088;Terminal LDC Tapajós 
1089;Cargill Agrícola S.A. (ETC Miritituba/PA)
1090;Petróleo Sabbá - BSMI
1091;Arapari - Belém
1092;Homem de Nazaré
1093;LIMPAR NAVEGAÇÃO E SERVIÇOS EIRELI
1094;Esquivel & Marques Ltda.
